"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","470u","",""
"2","C2, C4","2",".1u","",""
"3","C3","1","680u","",""
"4","D1","1","LED","",""
"5","D2, D3, D4, D5, D6, D7, D8, D9","8","2V, 10mA","",""
"6","J1","1","Jack-DC","",""
"7","R1","1","R","",""
"8","R2, R8, R10, R12, R14, R16, R17, R18, R19","9","1K","",""
"9","R3","1","1R","",""
"10","R4, R5, R6, R7, R9, R11, R13, R15","8","100R","",""
"11","R20","1","400R","",""
"12","R21","1","300R","",""
"13","RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9","9","10K","",""
"14","SW1","1","SW_Push","",""
"15","SW2","1","SW_Rotary12","",""
"16","U1","1","NE555P","Package_DIP:DIP-8_W7.62mm",""
"17","U2","1","4017","",""
"18","U3","1","OP07","",""
